,Year,Month,Extent_avg
435,2015,01,13.602322580645163
436,2015,02,14.400642857142858
437,2015,03,14.370516129032255
438,2015,04,13.89316666666667
439,2015,05,12.468096774193548
440,2015,06,10.878899999999996
441,2015,07,8.377870967741936
442,2015,08,5.5987419354838694
443,2015,09,4.615766666666665
444,2015,10,6.966225806451613
445,2015,11,9.846166666666667
446,2015,12,12.044774193548388
447,2016,01,13.456774193548387
448,2016,02,14.202724137931032
449,2016,03,14.39993548387097
450,2016,04,13.681266666666666
451,2016,05,11.924419354838712
452,2016,06,10.4129
453,2016,07,7.937548387096773
454,2016,08,5.370548387096773
455,2016,09,4.528499999999999
456,2016,10,6.081645161290322
457,2016,11,8.657833333333334
458,2016,12,11.45941935483871
459,2017,01,13.190129032258065
460,2017,02,14.119428571428571
461,2017,03,14.290064516129029
462,2017,04,13.753466666666665
463,2017,05,12.630451612903226
464,2017,06,10.756400000000001
465,2017,07,7.9393548387096775
466,2017,08,5.480645161290323
467,2017,09,4.821900000000001
468,2017,10,6.7671290322580635
469,2017,11,9.492833333333333
470,2017,12,11.742677419354838
471,2018,01,13.077354838709674
472,2018,02,13.967250000000002
473,2018,03,14.297580645161291
474,2018,04,13.696066666666667
475,2018,05,12.232032258064516
476,2018,06,10.7775
477,2018,07,8.26809677419355
478,2018,08,5.614806451612902
479,2018,09,4.785233333333332
480,2018,10,6.134096774193547
481,2018,11,9.823133333333333
482,2018,12,11.86148387096774
483,2019,01,13.567225806451615
484,2019,02,14.393678571428572
485,2019,03,14.57364516129032
486,2019,04,13.434433333333336
487,2019,05,12.185903225806452
488,2019,06,10.5936
489,2019,07,7.589322580645163
490,2019,08,5.026322580645162
491,2019,09,4.363900000000001
492,2019,10,5.734903225806451
493,2019,11,9.352833333333333
494,2019,12,11.903096774193546
495,2020,01,13.635870967741935
496,2020,02,14.642137931034485
497,2020,03,14.730000000000004
498,2020,04,13.6215
499,2020,05,12.343129032258062
500,2020,06,10.592833333333335
501,2020,07,7.293967741935483
502,2020,08,5.07
503,2020,09,4.000533333333333
504,2020,10,5.334
505,2020,11,8.985166666666665
506,2020,12,11.72945161290323
507,2021,01,13.500935483870968
508,2021,02,14.389571428571427
509,2021,03,14.65822580645161
510,2021,04,13.791866666666664
511,2021,05,12.681935483870967
512,2021,06,10.765066666666668
513,2021,07,7.646967741935486
514,2021,08,5.714967741935483
515,2021,09,4.952399999999999
516,2021,10,6.816322580645161
517,2021,11,9.830233333333334
518,2021,12,12.151806451612904
519,2022,01,13.877419354838713
520,2022,02,14.61417857142857
521,2022,03,14.58583870967742
522,2022,04,14.041766666666668
523,2022,05,12.918103448275861
